dataset_id,pmid,cell_type
N1_ncbi_literature,38750122,Treg
N1_ncbi_literature,38750640,Treg
N1_ncbi_literature,38750669,Treg
N1_ncbi_literature,38751204,Treg
N1_ncbi_literature,38752787,Treg
N1_ncbi_literature,38753171,Treg
N1_ncbi_literature,38754514,Treg
N1_ncbi_literature,38755031,Treg
N1_ncbi_literature,38755179,Treg
N1_ncbi_literature,38758229,Naive CD4 T cell
N1_ncbi_literature,38758229,Treg
N1_ncbi_literature,38761409,Treg
N1_ncbi_literature,38761665,Treg
N1_ncbi_literature,38762825,Treg
N1_ncbi_literature,38763820,Treg
N1_ncbi_literature,38767650,Proliferating T cell
N1_ncbi_literature,38769868,Treg
N1_ncbi_literature,38771314,Treg
N1_ncbi_literature,38771698,Treg
N1_ncbi_literature,38773213,Treg
N1_ncbi_literature,38773691,MAIT
N1_ncbi_literature,38774754,Naive CD4 T cell
N1_ncbi_literature,38774869,Treg
N1_ncbi_literature,38775775,gamma delta T
N1_ncbi_literature,38776511,Memory CD8 T cell
N1_ncbi_literature,38776753,Treg
N1_ncbi_literature,38778559,Treg
N1_ncbi_literature,38779951,Memory CD8 T cell
N1_ncbi_literature,38780019,Treg
N1_ncbi_literature,38780041,Treg
N1_ncbi_literature,38780202,Treg
N1_ncbi_literature,38781172,Treg
N1_ncbi_literature,38781760,Treg
N1_ncbi_literature,38783281,Treg
N1_ncbi_literature,38786021,Treg
N1_ncbi_literature,38786036,Treg
N1_ncbi_literature,38787201,Memory CD4 T cell
N1_ncbi_literature,38787409,Treg
N1_ncbi_literature,38787791,Treg
N1_ncbi_literature,38788802,Treg
N1_ncbi_literature,38790104,Treg
N1_ncbi_literature,38793588,Treg
N1_ncbi_literature,38793599,Treg
N1_ncbi_literature,38795691,Treg
N1_ncbi_literature,38795951,Treg
N1_ncbi_literature,38796098,Naive CD8 T cell
N1_ncbi_literature,38796963,Treg
N1_ncbi_literature,38797677,Naive CD4 T cell
N1_ncbi_literature,38797702,Treg
N1_ncbi_literature,38797917,Treg
N1_ncbi_literature,38799444,Treg
N1_ncbi_literature,38800958,Treg
N1_ncbi_literature,38804782,Treg
N1_ncbi_literature,38805119,Treg
N1_ncbi_literature,38805281,Treg
N1_ncbi_literature,38806057,Treg
N1_ncbi_literature,38807592,Treg
N1_ncbi_literature,38808464,MAIT
N1_ncbi_literature,38809243,Treg
N1_ncbi_literature,38810242,Treg
N1_ncbi_literature,38811598,Treg
N1_ncbi_literature,38812504,Naive CD8 T cell
N1_ncbi_literature,38812504,Treg
N1_ncbi_literature,38813718,MAIT
N1_ncbi_literature,38814516,Treg
N1_ncbi_literature,38815348,Treg
N1_ncbi_literature,38815351,Treg
N1_ncbi_literature,38816360,Treg
N1_ncbi_literature,38819071,Treg
N1_ncbi_literature,38820960,Treg
N1_ncbi_literature,38821040,Treg
N1_ncbi_literature,38821965,Memory CD8 T cell
N1_ncbi_literature,38822041,Treg
N1_ncbi_literature,38822736,Treg
N1_ncbi_literature,38822829,Treg
N1_ncbi_literature,38822857,MAIT
N1_ncbi_literature,38824552,Treg
N1_ncbi_literature,38828898,Treg
N1_ncbi_literature,38829009,Treg
N1_ncbi_literature,38830125,Treg
N1_ncbi_literature,38830147,Treg
N1_ncbi_literature,38833269,Memory CD8 T cell
N1_ncbi_literature,38836509,Treg
N1_ncbi_literature,38838284,Treg
N1_ncbi_literature,38838550,MAIT
N1_ncbi_literature,38838789,Memory CD4 T cell
N1_ncbi_literature,38839272,Treg
N1_ncbi_literature,38840918,MAIT
N1_ncbi_literature,38842674,Treg
N1_ncbi_literature,3884274,Proliferating T cell
N1_ncbi_literature,38843327,Naive CD8 T cell
N1_ncbi_literature,38843541,Treg
N1_ncbi_literature,38844002,Treg
N1_ncbi_literature,38844114,Treg
N1_ncbi_literature,38845049,Naive CD4 T cell
N1_ncbi_literature,38845049,Treg
N1_ncbi_literature,38845088,Treg
N1_ncbi_literature,38845244,Treg
N1_ncbi_literature,38846949,Naive CD8 T cell
N1_ncbi_literature,38846949,Treg
N1_ncbi_literature,38847806,Memory CD8 T cell
N1_ncbi_literature,38848289,Treg
N1_ncbi_literature,38848683,Treg
N1_ncbi_literature,38848686,Treg
N1_ncbi_literature,38850163,Memory CD4 T cell
N1_ncbi_literature,38850540,Memory CD4 T cell
N1_ncbi_literature,38850789,Treg
N1_ncbi_literature,38851589,Memory CD4 T cell
N1_ncbi_literature,38852289,Treg
N1_ncbi_literature,38852935,Treg
N1_ncbi_literature,38855957,Naive CD4 T cell
N1_ncbi_literature,38856863,Treg
N1_ncbi_literature,38860355,Treg
N1_ncbi_literature,38861924,Treg
N1_ncbi_literature,38861931,Treg
N1_ncbi_literature,38862534,Treg
N1_ncbi_literature,38862586,Treg
N1_ncbi_literature,38863695,Treg
N1_ncbi_literature,38863709,Naive CD4 T cell
N1_ncbi_literature,38865451,MAIT
N1_ncbi_literature,38865800,Treg
N1_ncbi_literature,38865911,Treg
N1_ncbi_literature,38866540,Naive CD4 T cell
N1_ncbi_literature,38870593,Treg
N1_ncbi_literature,38871128,Treg
N1_ncbi_literature,38871479,Memory CD4 T cell
N1_ncbi_literature,38871479,Treg
N1_ncbi_literature,38873607,Treg
N1_ncbi_literature,38874796,Memory CD8 T cell
N1_ncbi_literature,38874809,Treg
N1_ncbi_literature,38877366,Treg
N1_ncbi_literature,38877825,Treg
N1_ncbi_literature,38877848,Naive CD4 T cell
N1_ncbi_literature,38877848,Treg
N1_ncbi_literature,38879170,Treg
N1_ncbi_literature,38879436,MAIT
N1_ncbi_literature,38881036,Treg
N1_ncbi_literature,38885059,Treg
N1_ncbi_literature,38885318,Treg
N1_ncbi_literature,38885605,Treg
N1_ncbi_literature,38887294,Treg
N1_ncbi_literature,38887870,Treg
N1_ncbi_literature,38888489,Treg
N1_ncbi_literature,38888867,Treg
N1_ncbi_literature,38888975,Naive CD4 T cell
N1_ncbi_literature,38888975,Treg
N1_ncbi_literature,38889006,Treg
N1_ncbi_literature,38889499,Naive CD4 T cell
N1_ncbi_literature,38889499,Naive CD8 T cell
N1_ncbi_literature,38889499,Treg
N1_ncbi_literature,38889505,Treg
N1_ncbi_literature,38889507,Treg
N1_ncbi_literature,38889621,Treg
N1_ncbi_literature,38890176,Treg
N1_ncbi_literature,38890283,Memory CD4 T cell
N1_ncbi_literature,38890425,Treg
N1_ncbi_literature,38890429,Treg
N1_ncbi_literature,38891024,Treg
N1_ncbi_literature,38891073,Treg
N1_ncbi_literature,38891091,Treg
N1_ncbi_literature,38891095,Treg
N1_ncbi_literature,38892082,MAIT
N1_ncbi_literature,38892148,Treg
N1_ncbi_literature,38892275,Memory CD4 T cell
N1_ncbi_literature,38892275,Memory CD8 T cell
N1_ncbi_literature,38892421,Treg
N1_ncbi_literature,38895119,Treg
N1_ncbi_literature,38899432,Treg
N1_ncbi_literature,38901326,Treg
N1_ncbi_literature,38901430,Naive CD4 T cell
N1_ncbi_literature,38902257,Treg
N1_ncbi_literature,38902711,DN T cell
N1_ncbi_literature,38902711,Treg
N1_ncbi_literature,38903513,Memory CD8 T cell
N1_ncbi_literature,38903513,Naive CD8 T cell
N1_ncbi_literature,38905023,Memory CD4 T cell
N1_ncbi_literature,38905110,Treg
N1_ncbi_literature,38905326,Memory CD4 T cell
N1_ncbi_literature,38906084,Treg
N1_ncbi_literature,38908205,Treg
N1_ncbi_literature,38908483,Treg
N1_ncbi_literature,38908543,Treg
N1_ncbi_literature,38909973,Naive CD4 T cell
N1_ncbi_literature,38910324,gamma delta T
N1_ncbi_literature,38912581,Naive CD4 T cell
N1_ncbi_literature,38915782,Treg
N1_ncbi_literature,38916182,Treg
N1_ncbi_literature,38916330,MAIT
N1_ncbi_literature,38916421,Treg
N1_ncbi_literature,38916448,Memory CD8 T cell
N1_ncbi_literature,38916986,Memory CD4 T cell
N1_ncbi_literature,38917522,Treg
N1_ncbi_literature,38918577,Memory CD8 T cell
N1_ncbi_literature,38918985,Treg
N1_ncbi_literature,38919615,Treg
N1_ncbi_literature,38920310,Treg
N1_ncbi_literature,38920720,Naive CD8 T cell
N1_ncbi_literature,38921811,Treg
N1_ncbi_literature,38922845,Memory CD8 T cell
N1_ncbi_literature,38923991,Treg
N1_ncbi_literature,38925441,Treg
N1_ncbi_literature,38925679,Memory CD4 T cell
N1_ncbi_literature,38925679,Memory CD8 T cell
N1_ncbi_literature,38925828,Treg
N1_ncbi_literature,38925841,Treg
N1_ncbi_literature,38926097,gamma delta T
N1_ncbi_literature,38926377,Treg
N1_ncbi_literature,38926953,Treg
N1_ncbi_literature,38928083,Treg
N1_ncbi_literature,38933280,gamma delta T
N1_ncbi_literature,38935023,Treg
N1_ncbi_literature,38935134,Treg
N1_ncbi_literature,38936056,Treg
N1_ncbi_literature,38937380,Treg
N1_ncbi_literature,38937944,MAIT
N1_ncbi_literature,38938577,Proliferating T cell
N1_ncbi_literature,38939518,Memory CD4 T cell
N1_ncbi_literature,38942161,Treg
N1_ncbi_literature,38942796,Treg
N1_ncbi_literature,38943078,Treg
N1_ncbi_literature,38944231,Treg
N1_ncbi_literature,38945082,Treg
N1_ncbi_literature,38945402,Treg
N1_ncbi_literature,38947317,Treg
N1_ncbi_literature,38947320,Treg
N1_ncbi_literature,38949640,Treg
N1_ncbi_literature,38950456,Treg
N1_ncbi_literature,38952265,Naive CD4 T cell
N1_ncbi_literature,38953021,MAIT
N1_ncbi_literature,38953023,Treg
N1_ncbi_literature,38953025,Treg
N1_ncbi_literature,38953031,Naive CD4 T cell
N1_ncbi_literature,38953561,Treg
N1_ncbi_literature,38954474,Treg
N1_ncbi_literature,38954689,Treg
N1_ncbi_literature,38955025,Treg
N1_ncbi_literature,38955422,Treg
N1_ncbi_literature,38956225,Memory CD8 T cell
N1_ncbi_literature,38956621,Treg
N1_ncbi_literature,38956700,Treg
N1_ncbi_literature,38960787,Treg
N1_ncbi_literature,38960961,Treg
N1_ncbi_literature,38961712,MAIT
N1_ncbi_literature,38963690,Treg
N1_ncbi_literature,38963940,Treg
N1_ncbi_literature,38964200,Naive CD4 T cell
N1_ncbi_literature,38964200,Naive CD8 T cell
N1_ncbi_literature,38964786,Memory CD8 T cell
N1_ncbi_literature,38964788,Treg
N1_ncbi_literature,38964950,Naive CD8 T cell
N1_ncbi_literature,38965843,Treg
N1_ncbi_literature,38968337,Treg
N1_ncbi_literature,38968485,Treg
N1_ncbi_literature,38968798,Treg
N1_ncbi_literature,38968861,Treg
N1_ncbi_literature,38969159,Treg
N1_ncbi_literature,38970262,Treg
N1_ncbi_literature,38971151,Treg
N1_ncbi_literature,38971333,Treg
N1_ncbi_literature,38971819,Memory CD8 T cell
N1_ncbi_literature,38972151,Treg
N1_ncbi_literature,38972998,Naive CD4 T cell
N1_ncbi_literature,38972998,Treg
N1_ncbi_literature,38975330,Naive CD4 T cell
N1_ncbi_literature,38975728,Memory CD8 T cell
N1_ncbi_literature,38977207,Treg
N1_ncbi_literature,38977345,Treg
N1_ncbi_literature,38977952,Memory CD4 T cell
N1_ncbi_literature,38979423,MAIT
N1_ncbi_literature,38979545,Memory CD8 T cell
N1_ncbi_literature,38979903,Treg
N1_ncbi_literature,38981248,gamma delta T
N1_ncbi_literature,38990986,Treg
N1_ncbi_literature,38991501,Treg
N1_ncbi_literature,38992718,Treg
N1_ncbi_literature,38992764,MAIT
N1_ncbi_literature,38992764,Treg
N1_ncbi_literature,38992867,Memory CD8 T cell
N1_ncbi_literature,38994874,Treg
N1_ncbi_literature,38994913,Memory CD8 T cell
N1_ncbi_literature,38994913,Naive CD8 T cell
N1_ncbi_literature,38995700,Treg
N1_ncbi_literature,38995966,Memory CD8 T cell
N1_ncbi_literature,38996070,Treg
N1_ncbi_literature,38996766,Treg
N1_ncbi_literature,38996877,Naive CD4 T cell
N1_ncbi_literature,38998940,Treg
N1_ncbi_literature,38999941,Naive CD4 T cell
N1_ncbi_literature,39000278,Treg
N1_ncbi_literature,39000453,Treg
N1_ncbi_literature,39001587,Treg
N1_ncbi_literature,39001685,Treg
N1_ncbi_literature,39003594,Treg
N1_ncbi_literature,39007132,Treg
N1_ncbi_literature,39007430,Treg
N1_ncbi_literature,39008028,Treg
N1_ncbi_literature,39008280,Memory CD8 T cell
N1_ncbi_literature,39009318,Treg
N1_ncbi_literature,39010157,Treg
N1_ncbi_literature,39011035,Treg
N1_ncbi_literature,39011037,Treg
N1_ncbi_literature,39013877,Treg
N1_ncbi_literature,39013878,Treg
N1_ncbi_literature,39014161,gamma delta T
N1_ncbi_literature,39016239,Treg
N1_ncbi_literature,39018091,Treg
N1_ncbi_literature,39019005,Treg
N1_ncbi_literature,39019165,Treg
N1_ncbi_literature,39020448,Treg
N1_ncbi_literature,39022997,MAIT
N1_ncbi_literature,39023416,Memory CD8 T cell
N1_ncbi_literature,39025492,Treg
N1_ncbi_literature,39026344,Naive CD4 T cell
N1_ncbi_literature,39026344,Treg
N1_ncbi_literature,39029466,Treg
N1_ncbi_literature,39031474,Naive CD4 T cell
N1_ncbi_literature,39031800,Proliferating T cell
N1_ncbi_literature,39032906,Treg
N1_ncbi_literature,39039547,MAIT
N1_ncbi_literature,39039808,Memory CD4 T cell
N1_ncbi_literature,39039808,Naive CD4 T cell
N1_ncbi_literature,39041287,Treg
N1_ncbi_literature,39042313,Treg
N1_ncbi_literature,39042477,Treg
N1_ncbi_literature,39044825,Treg
N1_ncbi_literature,39046599,Treg
N1_ncbi_literature,39047731,Treg
N1_ncbi_literature,39050796,Treg
N1_ncbi_literature,39052264,gamma delta T
N1_ncbi_literature,39052685,Treg
N1_ncbi_literature,39052730,Treg
N1_ncbi_literature,39053202,Treg
N1_ncbi_literature,39053203,Treg
N1_ncbi_literature,39053947,Treg
N1_ncbi_literature,39054418,Memory CD8 T cell
N1_ncbi_literature,39054615,Treg
N1_ncbi_literature,39058862,Naive CD4 T cell
N1_ncbi_literature,39058893,Treg
N1_ncbi_literature,39059741,Treg
N1_ncbi_literature,39060324,MAIT
N1_ncbi_literature,39060678,Naive CD4 T cell
N1_ncbi_literature,39060923,Treg
N1_ncbi_literature,39062459,Treg
N1_ncbi_literature,39062756,Treg
N1_ncbi_literature,39063193,Treg
N1_ncbi_literature,39063202,gamma delta T
N1_ncbi_literature,39066287,Treg
N1_ncbi_literature,39066603,Naive CD8 T cell
N1_ncbi_literature,39066845,Treg
N1_ncbi_literature,39067676,Treg
N1_ncbi_literature,39068000,Treg
N1_ncbi_literature,39068974,Naive CD4 T cell
N1_ncbi_literature,39068974,Treg
N1_ncbi_literature,39072276,Memory CD8 T cell
N1_ncbi_literature,39072327,Treg
N1_ncbi_literature,39072334,Treg
N1_ncbi_literature,39072947,Treg
N1_ncbi_literature,39073174,Treg
N1_ncbi_literature,39073490,Treg
N1_ncbi_literature,39074418,Treg
N1_ncbi_literature,39075226,Treg
N1_ncbi_literature,39075718,Treg
N1_ncbi_literature,39078456,Treg
N1_ncbi_literature,39079337,Memory CD4 T cell
N1_ncbi_literature,39080766,Treg
N1_ncbi_literature,39081243,Treg
N1_ncbi_literature,39083587,Memory CD4 T cell
N1_ncbi_literature,39083931,Treg
N1_ncbi_literature,39084154,Treg
N1_ncbi_literature,39086480,Treg
N1_ncbi_literature,39086486,Treg
N1_ncbi_literature,39086492,MAIT
N1_ncbi_literature,39086903,Treg
N1_ncbi_literature,39087928,Treg
N1_ncbi_literature,39088121,Treg
N1_ncbi_literature,39088302,Treg
N1_ncbi_literature,39088925,Treg
N1_ncbi_literature,39089880,Memory CD4 T cell
N1_ncbi_literature,39089880,Treg
N1_ncbi_literature,39090751,Treg
N1_ncbi_literature,39091504,Naive CD8 T cell
N1_ncbi_literature,39093404,Treg
N1_ncbi_literature,39093712,Memory CD8 T cell
N1_ncbi_literature,39094122,Memory CD4 T cell
N1_ncbi_literature,39094355,Treg
N1_ncbi_literature,39095531,Memory CD8 T cell
N1_ncbi_literature,39095531,Naive CD8 T cell
N1_ncbi_literature,39097629,Treg
N1_ncbi_literature,39097919,Treg
N1_ncbi_literature,39098233,Treg
N1_ncbi_literature,39101538,Treg
N1_ncbi_literature,39101540,Treg
N1_ncbi_literature,39102712,Treg
N1_ncbi_literature,39103698,Treg
N1_ncbi_literature,39105784,Treg
N1_ncbi_literature,39105814,Memory CD8 T cell
N1_ncbi_literature,39105870,Treg
N1_ncbi_literature,39107200,Treg
N1_ncbi_literature,39107403,Treg
N1_ncbi_literature,39108272,MAIT
N1_ncbi_literature,39110034,Treg
N1_ncbi_literature,39110717,MAIT
N1_ncbi_literature,39111316,Treg
N1_ncbi_literature,39111562,Treg
N1_ncbi_literature,39112565,Treg
N1_ncbi_literature,39112913,Proliferating T cell
N1_ncbi_literature,39113892,Treg
N1_ncbi_literature,39115924,Naive CD4 T cell
N1_ncbi_literature,39115924,Treg
N1_ncbi_literature,39117005,Treg
N1_ncbi_literature,39118566,Treg
N1_ncbi_literature,39120629,Treg
N1_ncbi_literature,39122883,Memory CD4 T cell
N1_ncbi_literature,39123089,Treg
N1_ncbi_literature,39123248,gamma delta T
N1_ncbi_literature,39125849,Treg
N1_ncbi_literature,39126765,Treg
N1_ncbi_literature,39126779,Treg
N1_ncbi_literature,39128630,MAIT
N1_ncbi_literature,39128904,Treg
N1_ncbi_literature,39133127,Treg
N1_ncbi_literature,39133959,Treg
N1_ncbi_literature,39136025,Treg
N1_ncbi_literature,39136031,Treg
N1_ncbi_literature,39136032,Treg
N1_ncbi_literature,39136284,Treg
N1_ncbi_literature,39136361,Treg
N1_ncbi_literature,39137584,Treg
N1_ncbi_literature,39137632,Treg
N1_ncbi_literature,39137779,Treg
N1_ncbi_literature,39140321,Treg
N1_ncbi_literature,39141491,Treg
N1_ncbi_literature,39142272,Naive CD4 T cell
N1_ncbi_literature,39142717,Treg
N1_ncbi_literature,39143228,Treg
N1_ncbi_literature,39144146,Treg
N1_ncbi_literature,39146780,Treg
N1_ncbi_literature,39146830,MAIT
N1_ncbi_literature,39147414,Naive CD4 T cell
N1_ncbi_literature,39147414,Treg
N1_ncbi_literature,39147879,Treg
N1_ncbi_literature,39147954,Treg
N1_ncbi_literature,39150219,Treg
N1_ncbi_literature,39153426,Treg
N1_ncbi_literature,39154634,Treg
N1_ncbi_literature,39155409,Memory CD4 T cell
N1_ncbi_literature,39155409,Naive CD4 T cell
N1_ncbi_literature,39155774,Naive CD4 T cell
N1_ncbi_literature,39158838,Treg
N1_ncbi_literature,39162578,Treg
N1_ncbi_literature,39163991,Treg
N1_ncbi_literature,39164349,Treg
N1_ncbi_literature,39164472,Treg
N1_ncbi_literature,39167621,Treg
N1_ncbi_literature,39168022,Treg
N1_ncbi_literature,39168127,Naive CD4 T cell
N1_ncbi_literature,39171524,Treg
N1_ncbi_literature,39171893,Treg
N1_ncbi_literature,39173281,Treg
N1_ncbi_literature,39173398,Treg
N1_ncbi_literature,39173413,Treg
N1_ncbi_literature,39174387,gamma delta T
N1_ncbi_literature,39175022,Naive CD4 T cell
N1_ncbi_literature,39179406,Treg
N1_ncbi_literature,39180751,Treg
N1_ncbi_literature,39181823,Treg
N1_ncbi_literature,39182266,Treg
N1_ncbi_literature,39182680,Treg
N1_ncbi_literature,39186325,Treg
N1_ncbi_literature,39186994,Treg
N1_ncbi_literature,39187636,Naive CD4 T cell
N1_ncbi_literature,39188248,Treg
N1_ncbi_literature,39188755,Naive CD8 T cell
N1_ncbi_literature,39190494,Naive CD8 T cell
N1_ncbi_literature,39192412,Treg
N1_ncbi_literature,39192419,Treg
N1_ncbi_literature,39192975,MAIT
N1_ncbi_literature,39195194,Treg
N1_ncbi_literature,39196303,Treg
N1_ncbi_literature,39196597,Treg
N1_ncbi_literature,39196959,Treg
N1_ncbi_literature,39197193,Treg
N1_ncbi_literature,39197894,Treg
N1_ncbi_literature,39201585,Treg
N1_ncbi_literature,39205483,Memory CD8 T cell
N1_ncbi_literature,39206195,Treg
N1_ncbi_literature,39206903,Treg
N1_ncbi_literature,39206944,Naive CD4 T cell
N1_ncbi_literature,39207001,Treg
N1_ncbi_literature,39207730,Treg
N1_ncbi_literature,39208564,Treg
N1_ncbi_literature,39209219,Treg
N1_ncbi_literature,39209449,Memory CD8 T cell
N1_ncbi_literature,39210230,Treg
N1_ncbi_literature,39211052,Memory CD8 T cell
N1_ncbi_literature,39211052,Naive CD8 T cell
N1_ncbi_literature,39211798,Treg
N1_ncbi_literature,39212615,Treg
N1_ncbi_literature,39213866,Treg
N1_ncbi_literature,39213867,Treg
N1_ncbi_literature,39213947,Treg
N1_ncbi_literature,39214456,Treg
N1_ncbi_literature,39217984,Treg
N1_ncbi_literature,39218645,Treg
N1_ncbi_literature,39222889,Treg
N1_ncbi_literature,39225102,Treg
N1_ncbi_literature,39226877,Treg
N1_ncbi_literature,39226901,Treg
N1_ncbi_literature,39229257,Memory CD4 T cell
N1_ncbi_literature,39229275,Treg
N1_ncbi_literature,39231218,Treg
N1_ncbi_literature,39231385,Treg
N1_ncbi_literature,39231852,Treg
N1_ncbi_literature,39232704,Treg
N1_ncbi_literature,39233252,Naive CD4 T cell
N1_ncbi_literature,39233252,Treg
N1_ncbi_literature,39233638,Treg
N1_ncbi_literature,39234236,Treg
N1_ncbi_literature,39234241,MAIT
N1_ncbi_literature,39234241,Treg
N1_ncbi_literature,39234250,Treg
N1_ncbi_literature,39234257,Treg
N1_ncbi_literature,39235042,Treg
N1_ncbi_literature,39237681,Naive CD4 T cell
N1_ncbi_literature,39239953,Treg
N1_ncbi_literature,39241037,Treg
N1_ncbi_literature,39241054,MAIT
N1_ncbi_literature,39241514,Treg
N1_ncbi_literature,39241517,Treg
N1_ncbi_literature,39241744,Treg
N1_ncbi_literature,39242054,Treg
N1_ncbi_literature,39242334,Treg
N1_ncbi_literature,39243921,Treg
N1_ncbi_literature,39245938,Treg
N1_ncbi_literature,39247196,Treg
N1_ncbi_literature,39248338,Treg
N1_ncbi_literature,39248668,Memory CD4 T cell
N1_ncbi_literature,39250135,Naive CD4 T cell
N1_ncbi_literature,39250135,Treg
N1_ncbi_literature,39250432,Treg
N1_ncbi_literature,39251592,Treg
N1_ncbi_literature,39252592,Treg
N1_ncbi_literature,39253082,gamma delta T
N1_ncbi_literature,39254909,Treg
N1_ncbi_literature,39255678,Treg
N1_ncbi_literature,39255734,Treg
N1_ncbi_literature,39256403,Treg
N1_ncbi_literature,39256808,Treg
N1_ncbi_literature,39257319,Treg
N1_ncbi_literature,39258908,Memory CD4 T cell
N1_ncbi_literature,39260310,Treg
N1_ncbi_literature,39260353,Memory CD8 T cell
N1_ncbi_literature,39260526,Treg
N1_ncbi_literature,39261017,Treg
N1_ncbi_literature,39261719,Proliferating T cell
N1_ncbi_literature,39264227,Treg
N1_ncbi_literature,39264247,Treg
N1_ncbi_literature,39264387,Naive CD4 T cell
N1_ncbi_literature,39264416,Treg
N1_ncbi_literature,39264565,Treg
N1_ncbi_literature,39264727,Memory CD8 T cell
N1_ncbi_literature,39264810,MAIT
N1_ncbi_literature,39264810,gamma delta T
N1_ncbi_literature,39264847,Treg
N1_ncbi_literature,39265668,Treg
N1_ncbi_literature,39266465,Treg
N1_ncbi_literature,39267746,MAIT
N1_ncbi_literature,39269201,Treg
N1_ncbi_literature,39269310,Treg
N1_ncbi_literature,39272135,Treg
N1_ncbi_literature,39273290,Treg
N1_ncbi_literature,39273322,Proliferating T cell
N1_ncbi_literature,39273326,Treg
N1_ncbi_literature,39273524,Treg
N1_ncbi_literature,39275896,Treg
N1_ncbi_literature,39277095,Treg
N1_ncbi_literature,39278062,Treg
N1_ncbi_literature,39278361,gamma delta T
N1_ncbi_literature,39278849,Treg
N1_ncbi_literature,39279291,Memory CD8 T cell
N1_ncbi_literature,39279428,Naive CD8 T cell
N1_ncbi_literature,39283000,Treg
N1_ncbi_literature,39283523,Treg
N1_ncbi_literature,39284778,Treg
N1_ncbi_literature,39285316,Treg
N1_ncbi_literature,39285316,gamma delta T
N1_ncbi_literature,39285833,Treg
N1_ncbi_literature,39285835,Treg
N1_ncbi_literature,39286259,Treg
N1_ncbi_literature,39289357,Naive CD4 T cell
N1_ncbi_literature,39289824,MAIT
N1_ncbi_literature,39290695,Treg
N1_ncbi_literature,39290699,Treg
N1_ncbi_literature,39290700,Treg
N1_ncbi_literature,39291303,Treg
N1_ncbi_literature,39291784,Treg
N1_ncbi_literature,39291958,Treg
N1_ncbi_literature,39292205,MAIT
N1_ncbi_literature,39292802,Memory CD4 T cell
N1_ncbi_literature,39293523,Treg
N1_ncbi_literature,39294864,Treg
N1_ncbi_literature,39298815,Treg
N1_ncbi_literature,39299564,Treg
N1_ncbi_literature,39299674,Treg
N1_ncbi_literature,39302339,Naive CD4 T cell
N1_ncbi_literature,39303038,Treg
N1_ncbi_literature,39303372,Treg
N1_ncbi_literature,39304654,Naive CD4 T cell
N1_ncbi_literature,39304654,Treg
N1_ncbi_literature,39305580,Treg
N1_ncbi_literature,39305817,Treg
N1_ncbi_literature,39305817,gamma delta T
N1_ncbi_literature,39305938,Treg
N1_ncbi_literature,39306887,MAIT
N1_ncbi_literature,39307410,gamma delta T
N1_ncbi_literature,39307741,Treg
N1_ncbi_literature,39308860,Treg
N1_ncbi_literature,39311660,Memory CD8 T cell
N1_ncbi_literature,39315096,Memory CD8 T cell
N1_ncbi_literature,39315099,Treg
N1_ncbi_literature,39315550,Memory CD8 T cell
N1_ncbi_literature,39315595,Treg
N1_ncbi_literature,39316061,Memory CD8 T cell
N1_ncbi_literature,39320012,Treg
N1_ncbi_literature,39320047,Treg
N1_ncbi_literature,39320531,Treg
N1_ncbi_literature,39321257,Naive CD4 T cell
N1_ncbi_literature,39324367,Naive CD4 T cell
N1_ncbi_literature,39325360,Treg
N1_ncbi_literature,39325839,Memory CD8 T cell
N1_ncbi_literature,39326410,Treg
N1_ncbi_literature,39327353,Treg
N1_ncbi_literature,39328419,Treg
N1_ncbi_literature,39329710,Treg
N1_ncbi_literature,39329729,Treg
N1_ncbi_literature,39332093,Naive CD4 T cell
N1_ncbi_literature,39332767,Memory CD4 T cell
N1_ncbi_literature,39333103,Memory CD8 T cell
N1_ncbi_literature,39334238,Treg
N1_ncbi_literature,39334383,Treg
N1_ncbi_literature,39337644,MAIT
N1_ncbi_literature,39337675,Treg
N1_ncbi_literature,39339863,Treg
N1_ncbi_literature,39341078,Treg
N1_ncbi_literature,39341925,Treg
N1_ncbi_literature,39342213,Treg
N1_ncbi_literature,39348056,Treg
N1_ncbi_literature,39349422,Treg
N1_ncbi_literature,39350665,Memory CD8 T cell
N1_ncbi_literature,39351219,Treg
N1_ncbi_literature,39352394,Naive CD4 T cell
N1_ncbi_literature,39352394,Treg
N1_ncbi_literature,39352524,Treg
N1_ncbi_literature,39353391,Treg
N1_ncbi_literature,3935670,Proliferating T cell
N1_ncbi_literature,39357204,Treg
N1_ncbi_literature,39357524,Treg
N1_ncbi_literature,39357622,Treg
N1_ncbi_literature,39358175,Treg
N1_ncbi_literature,39358604,Treg
N1_ncbi_literature,39361308,Treg
N1_ncbi_literature,39361431,Treg
N1_ncbi_literature,39364400,Treg
N1_ncbi_literature,39364408,Treg
N1_ncbi_literature,39365735,Treg
N1_ncbi_literature,39368087,Treg
N1_ncbi_literature,39368482,gamma delta T
N1_ncbi_literature,39369184,MAIT
N1_ncbi_literature,39372404,MAIT
N1_ncbi_literature,39372414,Treg
N1_ncbi_literature,39375626,Treg
N1_ncbi_literature,39375899,Treg
N1_ncbi_literature,39378431,Treg
N1_ncbi_literature,39378971,Treg
N1_ncbi_literature,39380153,Treg
N1_ncbi_literature,39380471,Treg
N1_ncbi_literature,39382932,Treg
N1_ncbi_literature,39383231,Naive CD4 T cell
N1_ncbi_literature,39383378,Treg
N1_ncbi_literature,39383844,Treg
N1_ncbi_literature,39386167,Treg
